target,bert_depth,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,6,350,10,0.7563937978516457,0.0408100627288354,0.025294338936783414,0.5946990953232568,0.04377668606631258,0.027133071131206107,0.8399101257324219,0.015175799583504226,0.00940605803162917,0.633857136964798,0.04012637804247095,0.024870586777966663
gap,6,375,10,0.7447333064219485,0.03950089536273201,0.02448290859659437,0.5915095590954171,0.04027720899276917,0.024964072769506313,0.8521810352802277,0.007298660484846582,0.004523756636075276,0.6450901210308075,0.036844221742955846,0.022836285227511712
gap,6,400,10,0.7285130587371312,0.019104714414462192,0.01184122467296312,0.5684135404695636,0.01709169693368404,0.010593543512000456,0.8490015983581543,0.00951612201445991,0.0058981535313215655,0.6610296666622162,0.017874357198163576,0.011078641369694019
gap,6,425,10,0.7188951433086969,0.030564748494241522,0.018944227384992993,0.561902427441477,0.03088424888473256,0.01914225577865691,0.8530734539031982,0.011110261162401986,0.006886211211810034,0.6695883214473725,0.028097904084376266,0.017415261379181077
gap,6,450,10,0.7454357296581529,0.03921547365015102,0.024306002386331682,0.5886530093197744,0.039937122185572674,0.024753284782574877,0.8533180832862854,0.007219321506091032,0.004474581827575822,0.644434905052185,0.03774695781573496,0.023395806842243308
gap,6,475,10,0.7366753410316159,0.041172327350470966,0.025518872875516643,0.5728409098032264,0.03755387723321838,0.023276134257353226,0.8464369416236878,0.013641834632376788,0.00845529670472858,0.6526320397853851,0.0398270294447679,0.024685048594875327
gap,6,500,10,0.7462448952123353,0.02977169978689559,0.018452690703702566,0.5890570838845604,0.03301751869973936,0.02046447010856199,0.851496696472168,0.003985262045433426,0.0024700910066934485,0.644038736820221,0.028380491142352773,0.01759041065231747
gap,6,600,3,0.7033449936132876,0.005038390911518224,0.005701476044133316,0.552527468278096,0.00875832372874765,0.00991097630238699,0.8808127442995707,0.005473452135921322,0.006193794165578586,0.68423064549764,0.004532739165710256,0.005129277227878785
gap,6,700,3,0.7154289188220395,0.043087589464017945,0.04875819749653437,0.5679051393911013,0.041272664193954464,0.04670441621380317,0.879783829053243,0.010375535092569098,0.011741023238215107,0.6725083589553833,0.03970017510491111,0.04492497729604359
gap,6,800,3,0.6648921489048958,0.04762595678005192,0.053893843576057865,0.5189767261424701,0.05087216292129217,0.05756727163545841,0.8875371019045512,0.00463900331226006,0.005249526429765626,0.7168584068616232,0.04124383450550105,0.04667179235016028
gap,6,900,3,0.6864598447138519,0.018958887863717962,0.02145400126284085,0.5422906550118404,0.017784985978815823,0.02012560622710995,0.8959881265958151,0.008556185876332906,0.009682235789117064,0.6990672945976257,0.01671825730713049,0.018918489099040304
gap,6,1000,3,0.6730279377564149,0.07235493727689359,0.08187731932746548,0.5297726236746241,0.06846950317413802,0.07748053673418231,0.8850307861963908,0.029906379198074973,0.033842253917771396,0.7086480458577474,0.06084465594132655,0.0688522098334911
gap,6,1500,3,0.6142871247809509,0.01804181450019006,0.020416235058373887,0.4806892819321744,0.017213902446943638,0.01947936437463186,0.9179489811261495,0.0011035617435740425,0.0012487976726508986,0.7590034604072571,0.01423812742356817,0.01611195793347642
